exception_id,initiative_id,severity,category,opened_date,age_days,status,owner
EX-0389,AI-146,Medium,Oversight,2025-03-23,78,Open,Product
EX-0390,AI-151,High,Lineage,2025-04-01,0,Resolved,Data & AI
EX-0391,AI-156,Critical,Privacy,2025-04-10,10,Open,Risk
EX-0392,AI-161,Low,Security,2025-04-19,23,Open,Security
EX-0393,AI-166,Medium,Monitoring,2025-04-28,36,Open,Business Operations
EX-0394,AI-171,High,Oversight,2025-05-07,49,Open,Product
EX-0395,AI-176,Critical,Lineage,2025-05-16,0,Resolved,Data & AI
EX-0396,AI-001,Low,Privacy,2025-05-25,75,Open,Risk
EX-0397,AI-006,Medium,Security,2025-06-03,88,Open,Security
EX-0398,AI-011,High,Monitoring,2025-06-12,7,Open,Business Operations
EX-0399,AI-016,Critical,Oversight,2025-06-21,20,Open,Product
EX-0400,AI-021,Low,Lineage,2025-06-30,0,Resolved,Data & AI
EX-0401,AI-026,Medium,Privacy,2025-07-09,46,Open,Risk
EX-0402,AI-031,High,Security,2025-07-18,59,Open,Security
EX-0403,AI-036,Critical,Monitoring,2025-07-27,72,Open,Business Operations
EX-0404,AI-041,Low,Oversight,2025-08-05,85,Open,Product
EX-0405,AI-046,Medium,Lineage,2025-08-14,0,Resolved,Data & AI
EX-0406,AI-051,High,Privacy,2025-08-23,17,Open,Risk
EX-0407,AI-056,Critical,Security,2025-09-01,30,Open,Security
EX-0408,AI-061,Low,Monitoring,2025-09-10,43,Open,Business Operations
EX-0409,AI-066,Medium,Oversight,2025-09-19,56,Open,Product
EX-0410,AI-071,High,Lineage,2025-09-28,0,Resolved,Data & AI
EX-0411,AI-076,Critical,Privacy,2025-10-07,82,Open,Risk
EX-0412,AI-081,Low,Security,2025-10-16,95,Open,Security
EX-0413,AI-086,Medium,Monitoring,2025-10-25,14,Open,Business Operations
EX-0414,AI-091,High,Oversight,2025-11-03,27,Open,Product
EX-0415,AI-096,Critical,Lineage,2025-11-12,0,Resolved,Data & AI
EX-0416,AI-101,Low,Privacy,2025-11-21,53,Open,Risk
EX-0417,AI-106,Medium,Security,2025-11-30,66,Open,Security
EX-0418,AI-111,High,Monitoring,2025-12-09,79,Open,Business Operations
EX-0419,AI-116,Critical,Oversight,2025-12-18,92,Open,Product
EX-0420,AI-121,Low,Lineage,2025-12-27,0,Resolved,Data & AI
